Temperature (C)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
15	1	999.1	0.0010009	1.1345	1.1363	4.0435	75.203	75.456	1465.9	-0.041689	0.0011376	0.5888	liquid
15.017	1	999.1	0.0010009	1.1358	1.1376	4.0479	75.202	75.456	1466	-0.041687	0.0011371	0.58883	liquid
15.033	1	999.1	0.0010009	1.137	1.1389	4.0522	75.201	75.456	1466	-0.041685	0.0011366	0.58887	liquid
15.05	1	999.1	0.0010009	1.1383	1.1401	4.0566	75.2	75.455	1466.1	-0.041682	0.0011361	0.5889	liquid
15.067	1	999.09	0.0010009	1.1395	1.1414	4.061	75.199	75.455	1466.2	-0.04168	0.0011356	0.58893	liquid
15.083	1	999.09	0.0010009	1.1408	1.1426	4.0653	75.198	75.455	1466.2	-0.041678	0.0011351	0.58896	liquid
15.1	1	999.09	0.0010009	1.1421	1.1439	4.0697	75.197	75.454	1466.3	-0.041676	0.0011346	0.58899	liquid
15.117	1	999.08	0.0010009	1.1433	1.1451	4.074	75.196	75.454	1466.3	-0.041673	0.0011341	0.58903	liquid
15.133	1	999.08	0.0010009	1.1446	1.1464	4.0784	75.195	75.454	1466.4	-0.041671	0.0011336	0.58906	liquid
15.15	1	999.08	0.0010009	1.1458	1.1477	4.0828	75.194	75.453	1466.5	-0.041669	0.0011331	0.58909	liquid
15.167	1	999.08	0.0010009	1.1471	1.1489	4.0871	75.193	75.453	1466.5	-0.041666	0.0011326	0.58912	liquid
15.183	1	999.07	0.0010009	1.1484	1.1502	4.0915	75.192	75.453	1466.6	-0.041664	0.0011321	0.58915	liquid
15.2	1	999.07	0.0010009	1.1496	1.1514	4.0959	75.191	75.452	1466.6	-0.041662	0.0011316	0.58918	liquid
15.217	1	999.07	0.0010009	1.1509	1.1527	4.1002	75.19	75.452	1466.7	-0.041659	0.0011311	0.58922	liquid
15.233	1	999.07	0.0010009	1.1521	1.154	4.1046	75.189	75.452	1466.7	-0.041657	0.0011306	0.58925	liquid
15.25	1	999.06	0.0010009	1.1534	1.1552	4.1089	75.188	75.451	1466.8	-0.041655	0.0011301	0.58928	liquid
15.267	1	999.06	0.0010009	1.1546	1.1565	4.1133	75.187	75.451	1466.9	-0.041653	0.0011296	0.58931	liquid
15.283	1	999.06	0.0010009	1.1559	1.1577	4.1177	75.186	75.451	1466.9	-0.04165	0.0011291	0.58934	liquid
15.3	1	999.06	0.0010009	1.1572	1.159	4.122	75.185	75.45	1467	-0.041648	0.0011286	0.58938	liquid
15.317	1	999.05	0.0010009	1.1584	1.1602	4.1264	75.184	75.45	1467	-0.041646	0.0011281	0.58941	liquid
15.333	1	999.05	0.0010009	1.1597	1.1615	4.1307	75.183	75.45	1467.1	-0.041643	0.0011276	0.58944	liquid
15.35	1	999.05	0.001001	1.1609	1.1628	4.1351	75.182	75.449	1467.1	-0.041641	0.0011271	0.58947	liquid
15.367	1	999.05	0.001001	1.1622	1.164	4.1394	75.181	75.449	1467.2	-0.041639	0.0011266	0.5895	liquid
15.383	1	999.04	0.001001	1.1634	1.1653	4.1438	75.18	75.449	1467.3	-0.041637	0.0011261	0.58954	liquid
15.4	1	999.04	0.001001	1.1647	1.1665	4.1482	75.179	75.449	1467.3	-0.041634	0.0011256	0.58957	liquid
15.417	1	999.04	0.001001	1.166	1.1678	4.1525	75.178	75.448	1467.4	-0.041632	0.0011251	0.5896	liquid
15.433	1	999.04	0.001001	1.1672	1.169	4.1569	75.177	75.448	1467.4	-0.04163	0.0011246	0.58963	liquid
15.45	1	999.03	0.001001	1.1685	1.1703	4.1612	75.176	75.448	1467.5	-0.041627	0.0011241	0.58966	liquid
15.467	1	999.03	0.001001	1.1697	1.1716	4.1656	75.175	75.447	1467.6	-0.041625	0.0011237	0.58969	liquid
15.483	1	999.03	0.001001	1.171	1.1728	4.17	75.174	75.447	1467.6	-0.041623	0.0011232	0.58973	liquid
15.5	1	999.03	0.001001	1.1722	1.1741	4.1743	75.173	75.447	1467.7	-0.041621	0.0011227	0.58976	liquid
15.517	1	999.02	0.001001	1.1735	1.1753	4.1787	75.171	75.446	1467.7	-0.041618	0.0011222	0.58979	liquid
15.533	1	999.02	0.001001	1.1748	1.1766	4.183	75.17	75.446	1467.8	-0.041616	0.0011217	0.58982	liquid
15.55	1	999.02	0.001001	1.176	1.1778	4.1874	75.169	75.446	1467.8	-0.041614	0.0011212	0.58985	liquid
15.567	1	999.02	0.001001	1.1773	1.1791	4.1917	75.168	75.445	1467.9	-0.041611	0.0011207	0.58988	liquid
15.583	1	999.01	0.001001	1.1785	1.1804	4.1961	75.167	75.445	1468	-0.041609	0.0011202	0.58992	liquid
15.6	1	999.01	0.001001	1.1798	1.1816	4.2004	75.166	75.445	1468	-0.041607	0.0011197	0.58995	liquid
15.617	1	999.01	0.001001	1.181	1.1829	4.2048	75.165	75.444	1468.1	-0.041605	0.0011192	0.58998	liquid
15.633	1	999	0.001001	1.1823	1.1841	4.2091	75.164	75.444	1468.1	-0.041602	0.0011187	0.59001	liquid
15.65	1	999	0.001001	1.1836	1.1854	4.2135	75.163	75.444	1468.2	-0.0416	0.0011183	0.59004	liquid
15.667	1	999	0.001001	1.1848	1.1866	4.2179	75.162	75.444	1468.2	-0.041598	0.0011178	0.59007	liquid
15.683	1	999	0.001001	1.1861	1.1879	4.2222	75.161	75.443	1468.3	-0.041595	0.0011173	0.59011	liquid
15.7	1	998.99	0.001001	1.1873	1.1892	4.2266	75.16	75.443	1468.4	-0.041593	0.0011168	0.59014	liquid
15.717	1	998.99	0.001001	1.1886	1.1904	4.2309	75.159	75.443	1468.4	-0.041591	0.0011163	0.59017	liquid
15.733	1	998.99	0.001001	1.1898	1.1917	4.2353	75.158	75.442	1468.5	-0.041589	0.0011158	0.5902	liquid
15.75	1	998.99	0.001001	1.1911	1.1929	4.2396	75.157	75.442	1468.5	-0.041586	0.0011153	0.59023	liquid
15.767	1	998.98	0.001001	1.1924	1.1942	4.244	75.156	75.442	1468.6	-0.041584	0.0011149	0.59026	liquid
15.783	1	998.98	0.001001	1.1936	1.1954	4.2483	75.155	75.441	1468.6	-0.041582	0.0011144	0.5903	liquid
15.8	1	998.98	0.001001	1.1949	1.1967	4.2527	75.154	75.441	1468.7	-0.04158	0.0011139	0.59033	liquid
15.817	1	998.98	0.001001	1.1961	1.198	4.257	75.153	75.441	1468.8	-0.041577	0.0011134	0.59036	liquid
15.833	1	998.97	0.001001	1.1974	1.1992	4.2614	75.152	75.44	1468.8	-0.041575	0.0011129	0.59039	liquid
15.85	1	998.97	0.001001	1.1986	1.2005	4.2657	75.151	75.44	1468.9	-0.041573	0.0011124	0.59042	liquid
15.867	1	998.97	0.001001	1.1999	1.2017	4.2701	75.15	75.44	1468.9	-0.04157	0.0011119	0.59045	liquid
15.883	1	998.96	0.001001	1.2012	1.203	4.2744	75.149	75.44	1469	-0.041568	0.0011115	0.59048	liquid
15.9	1	998.96	0.001001	1.2024	1.2042	4.2788	75.148	75.439	1469	-0.041566	0.001111	0.59052	liquid
15.917	1	998.96	0.001001	1.2037	1.2055	4.2831	75.147	75.439	1469.1	-0.041564	0.0011105	0.59055	liquid
15.933	1	998.96	0.001001	1.2049	1.2068	4.2875	75.146	75.439	1469.2	-0.041561	0.00111	0.59058	liquid
15.95	1	998.95	0.001001	1.2062	1.208	4.2918	75.145	75.438	1469.2	-0.041559	0.0011095	0.59061	liquid
15.967	1	998.95	0.001001	1.2075	1.2093	4.2962	75.144	75.438	1469.3	-0.041557	0.001109	0.59064	liquid
15.983	1	998.95	0.0010011	1.2087	1.2105	4.3005	75.143	75.438	1469.3	-0.041555	0.0011086	0.59067	liquid
16	1	998.95	0.0010011	1.21	1.2118	4.3049	75.142	75.437	1469.4	-0.041552	0.0011081	0.59071	liquid
16.017	1	998.94	0.0010011	1.2112	1.2131	4.3092	75.14	75.437	1469.4	-0.04155	0.0011076	0.59074	liquid
16.033	1	998.94	0.0010011	1.2125	1.2143	4.3136	75.139	75.437	1469.5	-0.041548	0.0011071	0.59077	liquid
16.05	1	998.94	0.0010011	1.2137	1.2156	4.3179	75.138	75.437	1469.6	-0.041545	0.0011066	0.5908	liquid
16.067	1	998.94	0.0010011	1.215	1.2168	4.3223	75.137	75.436	1469.6	-0.041543	0.0011062	0.59083	liquid
16.083	1	998.93	0.0010011	1.2163	1.2181	4.3266	75.136	75.436	1469.7	-0.041541	0.0011057	0.59086	liquid
16.1	1	998.93	0.0010011	1.2175	1.2193	4.331	75.135	75.436	1469.7	-0.041539	0.0011052	0.59089	liquid
16.117	1	998.93	0.0010011	1.2188	1.2206	4.3353	75.134	75.435	1469.8	-0.041536	0.0011047	0.59093	liquid
16.133	1	998.92	0.0010011	1.22	1.2219	4.3397	75.133	75.435	1469.8	-0.041534	0.0011042	0.59096	liquid
16.15	1	998.92	0.0010011	1.2213	1.2231	4.344	75.132	75.435	1469.9	-0.041532	0.0011038	0.59099	liquid
16.167	1	998.92	0.0010011	1.2225	1.2244	4.3483	75.131	75.434	1470	-0.04153	0.0011033	0.59102	liquid
16.183	1	998.92	0.0010011	1.2238	1.2256	4.3527	75.13	75.434	1470	-0.041527	0.0011028	0.59105	liquid
16.2	1	998.91	0.0010011	1.2251	1.2269	4.357	75.129	75.434	1470.1	-0.041525	0.0011023	0.59108	liquid
16.217	1	998.91	0.0010011	1.2263	1.2281	4.3614	75.128	75.434	1470.1	-0.041523	0.0011019	0.59111	liquid
16.233	1	998.91	0.0010011	1.2276	1.2294	4.3657	75.127	75.433	1470.2	-0.041521	0.0011014	0.59114	liquid
16.25	1	998.91	0.0010011	1.2288	1.2307	4.3701	75.126	75.433	1470.2	-0.041518	0.0011009	0.59118	liquid
16.267	1	998.9	0.0010011	1.2301	1.2319	4.3744	75.125	75.433	1470.3	-0.041516	0.0011004	0.59121	liquid
16.283	1	998.9	0.0010011	1.2313	1.2332	4.3788	75.124	75.432	1470.3	-0.041514	0.0010999	0.59124	liquid
16.3	1	998.9	0.0010011	1.2326	1.2344	4.3831	75.123	75.432	1470.4	-0.041511	0.0010995	0.59127	liquid
16.317	1	998.89	0.0010011	1.2339	1.2357	4.3874	75.122	75.432	1470.5	-0.041509	0.001099	0.5913	liquid
16.333	1	998.89	0.0010011	1.2351	1.2369	4.3918	75.121	75.432	1470.5	-0.041507	0.0010985	0.59133	liquid
16.35	1	998.89	0.0010011	1.2364	1.2382	4.3961	75.12	75.431	1470.6	-0.041505	0.0010981	0.59136	liquid
16.367	1	998.89	0.0010011	1.2376	1.2395	4.4005	75.119	75.431	1470.6	-0.041502	0.0010976	0.5914	liquid
16.383	1	998.88	0.0010011	1.2389	1.2407	4.4048	75.118	75.431	1470.7	-0.0415	0.0010971	0.59143	liquid
16.4	1	998.88	0.0010011	1.2401	1.242	4.4092	75.116	75.43	1470.7	-0.041498	0.0010966	0.59146	liquid
16.417	1	998.88	0.0010011	1.2414	1.2432	4.4135	75.115	75.43	1470.8	-0.041496	0.0010962	0.59149	liquid
16.433	1	998.87	0.0010011	1.2427	1.2445	4.4178	75.114	75.43	1470.9	-0.041493	0.0010957	0.59152	liquid
16.45	1	998.87	0.0010011	1.2439	1.2457	4.4222	75.113	75.43	1470.9	-0.041491	0.0010952	0.59155	liquid
16.467	1	998.87	0.0010011	1.2452	1.247	4.4265	75.112	75.429	1471	-0.041489	0.0010947	0.59158	liquid
16.483	1	998.87	0.0010011	1.2464	1.2483	4.4309	75.111	75.429	1471	-0.041487	0.0010943	0.59161	liquid
16.5	1	998.86	0.0010011	1.2477	1.2495	4.4352	75.11	75.429	1471.1	-0.041484	0.0010938	0.59164	liquid
16.517	1	998.86	0.0010011	1.2489	1.2508	4.4395	75.109	75.428	1471.1	-0.041482	0.0010933	0.59168	liquid
16.533	1	998.86	0.0010011	1.2502	1.252	4.4439	75.108	75.428	1471.2	-0.04148	0.0010929	0.59171	liquid
16.55	1	998.86	0.0010011	1.2515	1.2533	4.4482	75.107	75.428	1471.2	-0.041478	0.0010924	0.59174	liquid
16.567	1	998.85	0.0010011	1.2527	1.2545	4.4526	75.106	75.428	1471.3	-0.041475	0.0010919	0.59177	liquid
16.583	1	998.85	0.0010012	1.254	1.2558	4.4569	75.105	75.427	1471.4	-0.041473	0.0010914	0.5918	liquid
16.6	1	998.85	0.0010012	1.2552	1.2571	4.4612	75.104	75.427	1471.4	-0.041471	0.001091	0.59183	liquid
16.617	1	998.84	0.0010012	1.2565	1.2583	4.4656	75.103	75.427	1471.5	-0.041469	0.0010905	0.59186	liquid
16.633	1	998.84	0.0010012	1.2577	1.2596	4.4699	75.102	75.426	1471.5	-0.041466	0.00109	0.59189	liquid
16.65	1	998.84	0.0010012	1.259	1.2608	4.4743	75.101	75.426	1471.6	-0.041464	0.0010896	0.59193	liquid
16.667	1	998.84	0.0010012	1.2603	1.2621	4.4786	75.1	75.426	1471.6	-0.041462	0.0010891	0.59196	liquid
16.683	1	998.83	0.0010012	1.2615	1.2633	4.4829	75.099	75.426	1471.7	-0.04146	0.0010886	0.59199	liquid
16.7	1	998.83	0.0010012	1.2628	1.2646	4.4873	75.098	75.425	1471.8	-0.041457	0.0010882	0.59202	liquid
16.717	1	998.83	0.0010012	1.264	1.2659	4.4916	75.097	75.425	1471.8	-0.041455	0.0010877	0.59205	liquid
16.733	1	998.82	0.0010012	1.2653	1.2671	4.4959	75.096	75.425	1471.9	-0.041453	0.0010872	0.59208	liquid
16.75	1	998.82	0.0010012	1.2665	1.2684	4.5003	75.094	75.424	1471.9	-0.041451	0.0010868	0.59211	liquid
